SEX,DATE OF JOINING,DESIGNATION,AGE,SALARY,UNIT,LEAVES USED,RATINGS,PAST EXP
F,2013-05-20,Analyst,22.0,41047,Operations,21.0,4.0,0
F,2013-12-08,Analyst,25.0,43225,Operations,30.0,2.0,2
M,2015-01-21,Analyst,22.0,42361,Marketing,25.0,2.0,0
F,2014-09-15,Analyst,22.0,43835,Management,26.0,4.0,0
F,2014-02-07,Analyst,25.0,47326,Operations,24.0,5.0,2
M,2012-09-28,Senior Analyst,25.0,61221,Marketing,19.0,3.0,0
F,2013-12-30,Analyst,21.0,42943,Finance,17.0,4.0,0
M,2013-09-04,Analyst,23.0,48751,Operations,24.0,3.0,0
M,2013-06-22,Analyst,22.0,42136,Finance,23.0,4.0,0
F,2013-06-24,Analyst,21.0,42472,Web,27.0,5.0,0
M,2013-03-23,Analyst,22.0,46677,IT,26.0,4.0,0
M,2014-12-03,Analyst,25.0,45977,Web,28.0,5.0,3
M,2014-11-25,Analyst,25.0,41345,Web,18.0,5.0,3
F,2010-06-27,Director,41.0,323196,Marketing,23.0,3.0,10
F,2014-10-16,Analyst,22.0,42727,Marketing,19.0,2.0,0
M,2012-05-27,Senior Analyst,25.0,53218,Marketing,18.0,5.0,0
F,2013-07-12,Analyst,21.0,48422,IT,21.0,3.0,0
M,2013-10-14,Associate,32.0,83066,IT,23.0,4.0,6
F,2013-09-22,Analyst,21.0,41627,Operations,29.0,2.0,0
M,2013-02-13,Director,42.0,388112,Marketing,27.0,2.0,18
F,2013-11-12,Analyst,23.0,44469,Web,25.0,3.0,0
M,2014-11-07,Analyst,24.0,41109,Marketing,23.0,3.0,2
M,2014-12-03,Analyst,23.0,43924,Operations,27.0,4.0,1
M,2013-12-26,Senior Analyst,25.0,64232,Operations,23.0,4.0,2
M,2013-03-23,Analyst,22.0,49644,Operations,19.0,2.0,0
F,2009-01-23,Director,43.0,284733,Web,15.0,2.0,11
F,2014-03-17,Analyst,22.0,48802,Operations,20.0,4.0,0
F,2013-12-13,Analyst,21.0,41748,IT,21.0,4.0,0
M,2013-07-01,Senior Analyst,27.0,61575,Finance,20.0,2.0,1
F,2013-12-17,Analyst,24.0,46062,Marketing,25.0,3.0,1
F,2013-04-02,Analyst,25.0,40251,Finance,18.0,2.0,1
M,2014-12-09,Analyst,21.0,42416,Management,16.0,2.0,0
F,2014-05-30,Analyst,22.0,43951,Finance,18.0,5.0,0
M,2014-01-10,Analyst,25.0,47903,Finance,19.0,2.0,2
F,2013-05-07,Analyst,22.0,45275,Operations,27.0,3.0,0
M,2014-09-16,Senior Analyst,26.0,61046,Finance,28.0,5.0,1
F,2014-01-04,Analyst,25.0,48204,Web,15.0,4.0,2
F,2013-06-23,Senior Analyst,27.0,51053,Operations,23.0,3.0,1
M,2014-09-28,Analyst,22.0,42560,Operations,16.0,2.0,0
F,2014-12-02,Analyst,25.0,40947,Marketing,20.0,2.0,3
F,2012-06-04,Senior Analyst,28.0,68432,IT,30.0,2.0,0
F,2014-05-28,Analyst,24.0,44561,Management,24.0,4.0,1
F,2012-02-13,Senior Analyst,26.0,63882,Operations,27.0,2.0,1
M,2013-12-11,Analyst,23.0,45903,Finance,21.0,2.0,0
M,2013-01-01,Analyst,23.0,48470,Web,28.0,3.0,0
F,2014-01-28,Analyst,23.0,45704,Finance,24.0,4.0,0
F,2013-12-21,Senior Analyst,25.0,57064,Management,18.0,5.0,0
M,2014-04-13,Analyst,22.0,48546,IT,15.0,2.0,0
F,2013-09-28,Senior Analyst,28.0,50044,Operations,25.0,3.0,5
F,2013-06-24,Analyst,21.0,41604,Marketing,16.0,2.0,0
F,2014-06-11,Analyst,23.0,45022,Finance,23.0,3.0,0
M,2011-09-11,Manager,33.0,107432,Web,24.0,4.0,8
F,2013-02-28,Analyst,24.0,45499,IT,26.0,4.0,0
M,2013-04-12,Analyst,22.0,47846,Marketing,26.0,2.0,0
F,2012-09-07,Senior Analyst,28.0,67299,Operations,29.0,3.0,1
F,2014-11-26,Analyst,24.0,48047,Web,21.0,2.0,2
M,2010-12-06,Senior Manager,36.0,186356,Finance,20.0,3.0,8
F,2013-11-23,Analyst,22.0,48539,Operations,26.0,5.0,0
F,2014-12-13,Analyst,22.0,45146,Marketing,18.0,2.0,0
F,2012-02-01,Senior Analyst,25.0,67321,IT,26.0,3.0,0
F,2014-10-29,Analyst,24.0,43137,IT,27.0,2.0,2
F,2013-05-03,Analyst,24.0,46974,Web,30.0,4.0,0
F,2013-05-03,Analyst,25.0,48602,Marketing,30.0,2.0,1
F,2013-09-23,Analyst,22.0,43036,Web,25.0,4.0,0
M,2014-07-08,Analyst,23.0,49318,Finance,17.0,3.0,0
F,2013-06-10,Analyst,23.0,48356,Web,19.0,2.0,0
M,2013-06-25,Analyst,25.0,49894,Operations,22.0,3.0,1
F,2014-12-19,Analyst,24.0,42344,Marketing,17.0,4.0,2
M,2013-01-16,Analyst,24.0,43343,Web,27.0,4.0,0
F,2013-12-29,Analyst,22.0,47750,Operations,27.0,4.0,0
M,2014-06-21,Analyst,22.0,42440,Marketing,19.0,3.0,0
F,2014-07-23,Analyst,25.0,45236,Web,16.0,2.0,3
M,2013-04-23,Analyst,24.0,41514,Operations,27.0,4.0,0
M,2015-01-02,Analyst,23.0,45084,IT,24.0,4.0,1
F,2013-12-21,Analyst,24.0,41676,Marketing,29.0,3.0,1
F,2013-09-08,Analyst,23.0,46127,Marketing,28.0,5.0,0
M,2012-03-17,Associate,29.0,99416,Management,20.0,5.0,4
F,2013-05-27,Analyst,25.0,47899,Operations,15.0,3.0,1
F,2013-12-08,Analyst,23.0,45927,Finance,15.0,3.0,0
M,2014-11-11,Analyst,23.0,48891,Management,22.0,2.0,1
M,2013-04-30,Analyst,22.0,41284,Finance,19.0,5.0,0
M,2011-04-20,Director,43.0,313649,IT,21.0,2.0,17
M,2013-01-06,Analyst,22.0,49111,Marketing,22.0,2.0,0
M,2012-02-20,Senior Analyst,25.0,51509,Marketing,23.0,3.0,0
M,2014-12-23,Analyst,21.0,49393,IT,16.0,3.0,0
M,2013-07-14,Analyst,21.0,46580,Web,27.0,4.0,0
F,2014-02-23,Analyst,25.0,44538,Finance,16.0,4.0,2
F,2013-12-27,Analyst,21.0,46507,Finance,22.0,2.0,0
F,2013-12-09,Analyst,24.0,47308,Web,26.0,5.0,1
M,2014-11-18,Analyst,22.0,45952,Management,25.0,5.0,0
M,2013-06-29,Senior Analyst,25.0,68505,Operations,15.0,3.0,1
F,2013-02-26,Senior Analyst,26.0,65316,Marketing,21.0,5.0,0
M,2014-12-12,Analyst,23.0,47401,Marketing,17.0,5.0,1
F,2013-11-03,Manager,35.0,129017,Operations,25.0,3.0,11
F,2014-12-27,Analyst,23.0,46347,Finance,28.0,4.0,1
M,2014-03-25,Analyst,25.0,47573,Web,25.0,4.0,2
M,2011-10-22,Associate,32.0,97708,IT,29.0,2.0,5
M,2014-06-21,Analyst,21.0,46002,Finance,21.0,5.0,0
F,2013-02-07,Analyst,25.0,47201,IT,27.0,5.0,1
M,2014-01-15,Analyst,21.0,46733,Web,15.0,2.0,0
F,2014-09-05,Senior Manager,39.0,191793,IT,20.0,3.0,17
M,2014-09-16,Analyst,22.0,41035,Management,19.0,4.0,0
F,2013-09-14,Manager,34.0,126871,Management,16.0,4.0,7
F,2013-04-30,Senior Analyst,27.0,51532,Marketing,25.0,5.0,0
F,2014-02-06,Analyst,24.0,43339,Finance,28.0,5.0,1
M,2014-05-22,Analyst,22.0,44506,IT,30.0,4.0,0
M,2013-10-20,Analyst,23.0,40045,Management,25.0,2.0,0
M,2013-02-20,Analyst,24.0,48938,Finance,19.0,2.0,0
M,2013-10-05,Analyst,23.0,48185,IT,19.0,4.0,0
F,2014-04-22,Analyst,25.0,47579,Marketing,25.0,3.0,2
F,2009-08-19,Director,41.0,375647,Finance,20.0,5.0,14
F,2013-04-03,Analyst,24.0,47386,Management,23.0,2.0,0
M,2014-03-01,Analyst,24.0,43952,Finance,23.0,4.0,1
F,2013-03-06,Analyst,24.0,48981,Finance,26.0,4.0,0
F,2013-03-17,Analyst,25.0,40702,Marketing,30.0,4.0,1
F,2014-08-10,Director,43.0,235565,Web,20.0,4.0,17
F,2014-04-24,Analyst,22.0,41641,Web,28.0,4.0,0
M,2013-04-26,Analyst,21.0,44350,Finance,25.0,4.0,0
F,2013-11-18,Analyst,23.0,48887,Operations,26.0,4.0,0
M,2013-05-26,Analyst,24.0,47499,Web,24.0,2.0,0
F,2013-06-16,Analyst,25.0,42128,Finance,18.0,5.0,1
M,2013-02-21,Analyst,24.0,48271,Finance,29.0,3.0,0
F,2013-10-06,Analyst,23.0,41029,Management,19.0,4.0,0
F,2015-01-04,Analyst,25.0,43659,Web,15.0,5.0,3
M,2014-03-26,Manager,33.0,140867,IT,27.0,4.0,7
F,2014-05-22,Analyst,24.0,49806,IT,22.0,5.0,1
F,2013-08-13,Analyst,24.0,49110,IT,25.0,2.0,1
M,2014-05-04,Analyst,23.0,42081,Management,23.0,4.0,0
F,2013-04-03,Analyst,21.0,41017,IT,27.0,5.0,0
F,2013-03-03,Analyst,24.0,48869,IT,26.0,5.0,0
M,2013-08-29,Senior Analyst,28.0,66965,Web,16.0,3.0,5
M,2013-05-12,Analyst,24.0,42338,Management,22.0,4.0,0
M,2013-08-06,Analyst,22.0,49380,Management,25.0,4.0,0
F,2014-01-25,Manager,33.0,117354,Management,26.0,3.0,6
F,2013-07-12,Analyst,25.0,41679,Web,20.0,2.0,2
M,2014-09-18,Analyst,22.0,44207,Finance,28.0,4.0,0
F,2014-10-25,Analyst,22.0,45059,Management,29.0,2.0,0
F,2011-05-09,Associate,29.0,95056,Operations,15.0,3.0,0
M,2013-03-05,Analyst,22.0,48777,Management,29.0,3.0,0
F,2014-07-28,Senior Analyst,28.0,56728,IT,16.0,4.0,4
F,2012-12-10,Senior Analyst,28.0,53113,Finance,20.0,3.0,1
F,2014-06-02,Analyst,21.0,45039,Management,19.0,4.0,0
F,2014-05-27,Analyst,21.0,41619,Management,21.0,2.0,0
F,2013-12-17,Senior Analyst,26.0,62672,Management,28.0,3.0,1
M,2013-04-18,Analyst,23.0,42925,Management,26.0,3.0,0
F,2013-06-13,Analyst,25.0,44343,Marketing,28.0,5.0,1
F,2014-05-17,Analyst,22.0,47967,Finance,23.0,4.0,0
M,2014-02-22,Associate,30.0,92323,Marketing,30.0,5.0,4
M,2013-07-23,Analyst,25.0,42002,Marketing,25.0,5.0,2
F,2014-01-21,Senior Manager,38.0,199577,Marketing,15.0,5.0,11
F,2011-06-09,Associate,30.0,96478,Marketing,29.0,4.0,0
M,2014-09-04,Senior Analyst,25.0,51817,IT,21.0,3.0,3
F,2014-11-13,Analyst,24.0,45604,Web,20.0,4.0,2
M,2014-04-15,Analyst,25.0,46844,Operations,19.0,5.0,2
F,2013-12-05,Analyst,23.0,46425,Operations,21.0,2.0,0
F,2014-02-24,Analyst,21.0,41908,Operations,18.0,5.0,0
F,2013-06-05,Analyst,22.0,42848,Web,29.0,3.0,0
M,2014-01-03,Analyst,21.0,45895,Marketing,17.0,2.0,0
F,2013-06-02,Analyst,22.0,41580,Finance,20.0,5.0,0
M,2012-02-26,Senior Analyst,27.0,55417,IT,18.0,2.0,0
M,2013-11-20,Analyst,21.0,41803,Web,30.0,2.0,0
F,2011-11-24,Manager,35.0,113837,Marketing,20.0,4.0,8
F,2014-07-20,Senior Analyst,28.0,69851,Finance,28.0,4.0,3
M,2014-11-03,Analyst,23.0,42429,Operations,24.0,2.0,1
M,2012-09-16,Associate,30.0,90346,Marketing,21.0,3.0,2
M,2014-12-08,Analyst,22.0,44980,Web,19.0,4.0,0
M,2012-01-17,Manager,32.0,124711,Finance,17.0,3.0,6
M,2013-10-21,Analyst,21.0,42803,Management,24.0,2.0,0
M,2014-05-28,Analyst,22.0,44015,IT,20.0,5.0,0
F,2012-06-09,Senior Analyst,28.0,55693,Management,15.0,2.0,2
F,2013-06-24,Senior Analyst,26.0,52083,Operations,19.0,4.0,1
M,2013-06-19,Analyst,24.0,46907,IT,16.0,2.0,0
F,2012-07-12,Senior Analyst,26.0,63008,Marketing,28.0,2.0,0
M,2014-11-16,Senior Analyst,25.0,64112,Management,19.0,3.0,0
M,2015-01-11,Analyst,24.0,44888,Operations,29.0,2.0,2
F,2013-11-11,Analyst,25.0,41921,Operations,29.0,5.0,2
F,2014-01-09,Analyst,22.0,41926,IT,18.0,3.0,0
F,2012-09-02,Director,45.0,324783,Finance,24.0,5.0,19
F,2013-12-09,Analyst,24.0,46499,Operations,22.0,3.0,1
F,2013-03-07,Analyst,21.0,42754,Marketing,16.0,3.0,0
M,2014-12-20,Analyst,22.0,46812,Operations,28.0,4.0,0
M,2014-11-17,Analyst,22.0,47001,IT,16.0,4.0,0
F,2014-04-28,Analyst,24.0,40646,Operations,24.0,5.0,1
F,2012-07-11,Associate,30.0,97879,Marketing,30.0,2.0,3
F,2014-04-19,Analyst,21.0,49013,Marketing,16.0,5.0,0
F,2013-02-03,Analyst,23.0,41120,Finance,21.0,3.0,0
F,2014-05-12,Manager,32.0,126181,IT,22.0,5.0,5
F,2014-12-18,Associate,31.0,76143,Operations,24.0,3.0,6
M,2013-05-22,Analyst,23.0,40998,Management,27.0,5.0,0
M,2010-05-17,Senior Manager,36.0,198814,Operations,22.0,5.0,6
M,2013-03-09,Analyst,24.0,43417,Finance,27.0,2.0,0
F,2013-07-31,Senior Analyst,27.0,59111,IT,19.0,3.0,4
M,2012-04-29,Associate,28.0,72328,Finance,27.0,3.0,0
M,2014-11-17,Analyst,23.0,44225,Operations,17.0,3.0,1
M,2013-07-05,Analyst,25.0,47561,Marketing,30.0,2.0,1
F,2014-02-06,Analyst,25.0,44512,Marketing,25.0,2.0,2
M,2013-11-10,Analyst,25.0,43352,Finance,27.0,4.0,2
M,2015-01-14,Analyst,25.0,49619,Marketing,30.0,2.0,3
F,2014-05-03,Analyst,25.0,43991,Management,25.0,4.0,2
F,2014-04-01,Analyst,23.0,44712,Marketing,18.0,5.0,0
F,2014-12-25,Analyst,21.0,47401,Finance,27.0,2.0,0
M,2012-02-29,Associate,29.0,85391,Web,19.0,2.0,1
F,2015-01-08,Analyst,24.0,47638,Web,21.0,2.0,2
F,2013-08-01,Analyst,22.0,41284,Operations,23.0,4.0,0
M,2014-10-20,Analyst,24.0,46251,Finance,28.0,5.0,2
M,2014-12-14,Analyst,25.0,47183,IT,23.0,2.0,3
F,2014-04-26,Analyst,23.0,44214,Web,23.0,4.0,0
M,2013-10-02,Analyst,22.0,41227,IT,24.0,2.0,0
M,2013-12-21,Analyst,25.0,43474,Management,27.0,5.0,2
F,2014-03-25,Analyst,22.0,42178,Web,28.0,3.0,0
F,2013-05-05,Analyst,23.0,40436,Operations,19.0,4.0,0
M,2013-05-15,Analyst,22.0,41354,Marketing,26.0,4.0,0
M,2013-09-08,Analyst,22.0,40417,Operations,24.0,4.0,0
F,2014-04-18,Analyst,22.0,44617,Management,28.0,2.0,0
M,2013-09-16,Analyst,21.0,44163,Finance,18.0,4.0,0
F,2013-12-01,Analyst,23.0,45123,Web,29.0,4.0,0
M,2014-05-06,Analyst,22.0,41550,Management,19.0,5.0,0
M,2013-06-12,Analyst,22.0,41989,IT,18.0,5.0,0
M,2014-06-03,Analyst,24.0,46206,IT,19.0,2.0,1
M,2014-08-07,Analyst,23.0,42255,Web,26.0,4.0,1
M,2014-01-28,Analyst,24.0,42667,Management,19.0,2.0,1
M,2014-05-03,Analyst,25.0,41734,Finance,21.0,5.0,2
F,2013-09-11,Analyst,22.0,40975,IT,30.0,4.0,0
F,2013-06-19,Analyst,22.0,47695,Operations,21.0,4.0,0
M,2013-12-27,Analyst,21.0,42786,Marketing,20.0,5.0,0
F,2013-02-24,Analyst,22.0,48681,Management,26.0,3.0,0
M,2013-04-02,Analyst,21.0,43185,IT,20.0,5.0,0
F,2013-03-29,Analyst,21.0,41577,Management,16.0,3.0,0
M,2013-03-10,Analyst,24.0,41691,Web,30.0,2.0,0
M,2013-06-11,Senior Analyst,27.0,51534,Operations,30.0,4.0,3
F,2013-03-07,Analyst,24.0,49020,IT,19.0,4.0,0
M,2010-10-29,Manager,33.0,120184,Management,20.0,5.0,7
M,2012-09-26,Manager,34.0,147560,Management,19.0,3.0,6
M,2013-06-20,Analyst,24.0,49602,Operations,21.0,5.0,0
F,2013-05-11,Analyst,24.0,42538,Marketing,25.0,5.0,0
M,2015-01-23,Analyst,22.0,41027,Management,21.0,2.0,0
F,2013-08-30,Analyst,21.0,43716,Management,30.0,2.0,0
F,2012-05-17,Senior Analyst,27.0,60085,Web,17.0,4.0,0
M,2013-01-01,Analyst,21.0,48682,Web,25.0,2.0,0
F,2014-06-18,Analyst,22.0,42710,IT,20.0,3.0,0
M,2012-10-09,Senior Analyst,26.0,53390,Marketing,20.0,5.0,2
M,2011-07-09,Associate,32.0,99130,Web,17.0,4.0,3
M,2013-07-12,Analyst,23.0,45152,Web,15.0,4.0,0
M,2013-01-06,Analyst,21.0,43357,Web,28.0,3.0,0
F,2012-08-01,Senior Analyst,26.0,57000,Marketing,27.0,5.0,0
M,2014-08-05,Analyst,21.0,44134,Marketing,30.0,2.0,0
M,2014-09-19,Analyst,23.0,44148,Finance,25.0,3.0,1
M,2012-06-03,Senior Analyst,25.0,56181,Management,15.0,2.0,0
F,2014-11-24,Analyst,23.0,48287,Finance,19.0,2.0,1
M,2014-10-11,Senior Analyst,25.0,69421,Finance,25.0,4.0,3
M,2014-04-25,Analyst,23.0,44342,Operations,26.0,5.0,0
F,2014-01-16,Senior Analyst,28.0,61710,Management,15.0,4.0,2
M,2013-03-18,Analyst,22.0,46038,IT,16.0,3.0,0
M,2014-04-06,Associate,31.0,78493,IT,21.0,2.0,4
F,2014-10-07,Analyst,25.0,43292,Operations,26.0,4.0,3
